Div	Acr	Conf	Team	Column2
NFC West	ARI	NFC	Arizona Cardinals	'crd',
NFC South	ATL	NFC	Atlanta Falcons	'atl',
AFC North	BAL	AFC	Baltimore Ravens	'rav',
AFC East	BUF	AFC	Buffalo Bills	'buf',
NFC South	CAR	NFC	Carolina Panthers	'car',
NFC North	CHI	NFC	Chicago Bears	'chi',
AFC North	CIN	AFC	Cincinnati Bengals	'cin',
AFC North	CLE	AFC	Cleveland Browns	'cle',
NFC East	DAL	NFC	Dallas Cowboys	'dal',
AFC West	DEN	AFC	Denver Broncos	'den',
NFC North	DET	NFC	Detroit Lions	'det',
NFC North	GNB	NFC	Green Bay Packers	'gnb',
AFC South	HOU	AFC	Houston Texans	'htx',
AFC South	IND	AFC	Indianapolis Colts	'clt',
AFC South	JAX	AFC	Jacksonville Jaguars	'jax',
AFC West	KAN	AFC	Kansas City Chiefs	'kan',
AFC West	LAC	AFC	Los Angeles Chargers	'sdg',
NFC West	LAR	NFC	Los Angeles Rams	'ram',
AFC West	LVR	AFC	Las Vegas Raiders	'rai',
AFC East	MIA	AFC	Miami Dolphins	'mia',
NFC North	MIN	NFC	Minnesota Vikings	'min',
NFC South	NOR	NFC	New Orleans Saints	'nor',
AFC East	NEW	AFC	New England Patriots	'nwe',
NFC East	NYG	NFC	New York Giants	'nyg',
AFC East	NYJ	AFC	New York Jets	'nyj',
NFC East	PHI	NFC	Philadelphia Eagles	'phi',
AFC North	PIT	AFC	Pittsburgh Steelers	'pit',
NFC West	SEA	NFC	Seattle Seahawks	'sea',
NFC West	SFO	NFC	San Francisco 49ers	'sfo',
NFC South	TAM	NFC	Tampa Bay Buccaneers	'tam',
AFC South	TEN	AFC	Tennessee Titans	'oti',
NFC East	WAS	NFC	Washington Football Team	'was',
